,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1234,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1658,7.413970290190444,8472.523,9.044702,178.5592,5.190505,2.1075091,8472.523
P1902_1235,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1719,7.450079569807499,8773.033,9.079552,167.68796,5.128051,1.9114023,8773.033
P1902_1236,In_Vivo,1.0,356,136.0,,P1902,,,,,,,,,,,,,,,,,1839,7.517520850603031,9216.038,9.128809,158.69255,5.0732503,1.7219173,9216.038
P1902_1237,In_Vivo,1.0,329,136.0,,P1902,,,,,,,,,,,,,,,,,1768,7.478169694159785,8939.305,9.098325,171.50305,5.150415,1.9185278,8939.305
P1902_1239,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1775,7.4821189235521155,8778.855,9.080215,183.08318,5.215388,2.0855017,8778.855
P1902_1241,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1746,7.465655310134056,8827.703,9.085763,162.25247,5.095298,1.837992,8827.703
P1902_1242,In_Vivo,1.0,111,136.0,,P1902,,,,,,,,,,,,,,,,,1640,7.403061091090091,8505.75,9.048615,160.67268,5.0855737,1.8889891,8505.75
P1902_1243,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1792,7.491645473605133,8897.74,9.093665,172.54947,5.1564627,1.9392505,8897.74
P1902_1244,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1488,7.305860032684009,7505.7295,8.923555,169.25862,5.1373186,2.2550588,7505.7295
P1902_1245,In_Vivo,1.0,230,136.0,,P1902,,,,,,,,,,,,,,,,,1702,7.440146680662688,8560.402,9.055019,156.62038,5.0601892,1.8295914,8560.402
P1902_1247,In_Vivo,1.0,118,136.0,,P1902,,,,,,,,,,,,,,,,,1540,7.340186835320115,7848.2246,8.96817,171.08987,5.148017,2.179982,7848.2246
P1902_1249,In_Vivo,1.0,160,136.0,,P1902,,,,,,,,,,,,,,,,,1428,7.264730177929867,7580.3286,8.933444,145.09996,4.984291,1.9141644,7580.3286
P1902_1250,In_Vivo,1.0,359,136.0,,P1902,,,,,,,,,,,,,,,,,1760,7.473637108496206,8892.85,9.093115,162.4625,5.0965834,1.826889,8892.85
P1902_1251,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1587,7.370230641807081,8071.892,8.996267,170.12526,5.142396,2.1076255,8071.892
P1902_1252,In_Vivo,1.0,361,136.0,,P1902,,,,,,,,,,,,,,,,,1903,7.55171221535131,9465.24,9.155487,157.0561,5.06295,1.6592934,9465.24
P1902_1253,In_Vivo,1.0,98,136.0,,P1902,,,,,,,,,,,,,,,,,1683,7.428927194802272,8570.482,9.056196,174.49605,5.1676164,2.036012,8570.482
P1902_1257,In_Vivo,1.0,142,136.0,,P1902,,,,,,,,,,,,,,,,,1632,7.398174092970465,8489.902,9.046751,164.18974,5.107095,1.9339415,8489.902
P1902_1258,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1642,7.404279118037268,8577.183,9.056977,180.16434,5.1994047,2.1005073,8577.183
P1902_1259,In_Vivo,1.0,130,136.0,,P1902,,,,,,,,,,,,,,,,,1807,7.4999765409521215,9125.982,9.11899,156.67693,5.0605483,1.7168226,9125.982
P1902_1260,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1758,7.472500744737558,8937.061,9.098074,165.99313,5.117953,1.8573571,8937.061
P1902_1262,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1265,7.143617602704121,6560.2505,8.788937,173.4492,5.1616335,2.6439416,6560.2505
P1902_1263,In_Vivo,1.0,149,136.0,,P1902,,,,,,,,,,,,,,,,,1582,7.367077059881012,8021.0645,8.989951,170.60497,5.145195,2.1269615,8021.0645
P1902_1265,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1684,7.429520842786462,8511.889,9.049336,157.57375,5.06622,1.8512195,8511.889
P1902_1266,In_Vivo,1.0,100,136.0,,P1902,,,,,,,,,,,,,,,,,1629,7.396335293800808,8363.453,9.031746,159.81984,5.0802846,1.9109312,8363.453
